Country,1990,2000hdi,2010hdi,2013hdi,2015hdi,2016hdi,2017hdi,2018hdi,hdichange1990-2000,hdichange2000-2010,hdichange2010-2018,hdichange1990-2018,Ranking
Afghanistan,0.298,0.345,0.464,0.485,0.49,0.491,0.493,0.496,1.47,3.01,0.83,1.84,low
Albania,0.644,0.667,0.74,0.781,0.788,0.788,0.789,0.791,0.35,1.05,0.84,0.74,high
Algeria,0.578,0.646,0.73,0.746,0.751,0.755,0.758,0.759,1.11,1.23,0.49,0.97,high
Andorra,..,0.759,0.828,0.846,0.85,0.854,0.852,0.857,..,0.88,0.43,..,very high
Angola,..,0.394,0.51,0.547,0.565,0.57,0.576,0.574,..,2.63,1.5,..,medium
Antigua and Barbuda,..,..,0.771,0.767,0.77,0.772,0.774,0.776,..,..,0.08,..,high
Argentina,0.707,0.77,0.818,0.824,0.828,0.828,0.832,0.83,0.86,0.61,0.18,0.58,very high
Armenia,0.633,0.649,0.729,0.743,0.748,0.751,0.758,0.76,0.24,1.17,0.52,0.65,high
Australia,0.866,0.898,0.926,0.926,0.933,0.935,0.937,0.938,0.37,0.3,0.17,0.29,very high
Austria,0.795,0.838,0.895,0.896,0.906,0.909,0.912,0.914,0.54,0.66,0.26,0.5,very high
Azerbaijan,..,0.641,0.732,0.741,0.749,0.749,0.752,0.754,..,1.34,0.36,..,high
Bahamas,..,0.787,0.795,0.797,0.799,0.8,0.804,0.805,..,0.1,0.16,..,very high
Bahrain,0.736,0.792,0.796,0.807,0.834,0.839,0.839,0.838,0.74,0.06,0.64,0.46,very high
Bangladesh,0.388,0.47,0.549,0.572,0.588,0.599,0.609,0.614,1.95,1.56,1.4,1.65,medium
Barbados,0.732,0.771,0.799,0.812,0.812,0.814,0.813,0.813,0.53,0.35,0.22,0.38,very high
Belarus,..,0.682,0.792,0.808,0.811,0.812,0.815,0.817,..,1.5,0.39,..,very high
Belgium,0.806,0.873,0.903,0.908,0.913,0.915,0.917,0.919,0.8,0.33,0.22,0.47,very high
Belize,0.613,0.643,0.693,0.707,0.715,0.722,0.719,0.72,0.49,0.74,0.49,0.58,high
Benin,0.348,0.398,0.473,0.5,0.51,0.512,0.515,0.52,1.36,1.74,1.19,1.45,low
Bhutan,..,..,0.571,0.594,0.606,0.61,0.615,0.617,..,..,0.98,..,medium
Bolivia,0.54,0.616,0.655,0.673,0.685,0.692,0.7,0.703,1.31,0.63,0.88,0.94,high
Bosnia-Herzegovina,..,0.669,0.714,0.748,0.755,0.765,0.767,0.769,..,0.65,0.93,..,high
Botswana,0.57,0.578,0.66,0.699,0.714,0.719,0.724,0.728,0.14,1.34,1.22,0.88,high
Brazil,0.613,0.684,0.726,0.752,0.755,0.757,0.76,0.761,1.11,0.59,0.59,0.78,high
Brunei Darussalam,0.768,0.805,0.832,0.844,0.843,0.844,0.843,0.845,0.47,0.33,0.19,0.34,very high
Bulgaria,0.694,0.712,0.779,0.792,0.807,0.812,0.813,0.816,0.26,0.9,0.58,0.58,very high
Burkina Faso,..,0.286,0.375,0.401,0.413,0.42,0.429,0.434,..,2.74,1.84,..,low
Burundi,0.295,0.293,0.402,0.422,0.427,0.427,0.421,0.423,-0.07,3.2,0.65,1.29,low
Cabo Verde,..,0.564,0.626,0.641,0.643,0.645,0.647,0.651,..,1.06,0.48,..,medium
Cambodia,0.384,0.419,0.535,0.555,0.566,0.572,0.578,0.581,0.89,2.46,1.05,1.49,medium
Cameroon,0.445,0.438,0.471,0.531,0.548,0.556,0.56,0.563,-0.15,0.71,2.26,0.84,medium
Canada,0.85,0.868,0.895,0.91,0.917,0.92,0.921,0.922,0.21,0.31,0.38,0.29,very high
Central African Republic,0.32,0.307,0.355,0.351,0.362,0.372,0.376,0.381,-0.41,1.44,0.89,0.62,low
Chad,..,0.298,0.374,0.399,0.403,0.398,0.401,0.401,..,2.29,0.89,..,low
Chile,0.703,0.753,0.8,0.83,0.839,0.843,0.845,0.847,0.7,0.61,0.71,0.67,very high
China,0.501,0.591,0.702,0.727,0.742,0.749,0.753,0.758,1.66,1.74,0.95,1.48,high
Colombia,0.6,0.662,0.729,0.746,0.753,0.759,0.76,0.761,0.99,0.96,0.54,0.85,high
Comoros,..,0.457,0.513,0.532,0.535,0.537,0.539,0.538,..,1.15,0.6,..,low
Congo (Democratic Republic),0.377,0.333,0.416,0.429,0.445,0.453,0.456,0.459,-1.24,2.24,1.24,0.7,low
Congo (Republic),0.531,0.495,0.557,0.581,0.614,0.613,0.609,0.608,-0.71,1.19,1.12,0.49,medium
Costa Rica,0.655,0.711,0.754,0.777,0.786,0.789,0.792,0.794,0.82,0.59,0.64,0.69,high
Cote d'Ivoire,0.391,0.407,0.454,0.475,0.494,0.508,0.512,0.516,0.4,1.09,1.61,0.99,low
Croatia,0.67,0.749,0.811,0.825,0.83,0.832,0.835,0.837,1.12,0.79,0.41,0.8,very high
Cuba,0.676,0.686,0.776,0.762,0.768,0.771,0.777,0.778,0.15,1.24,0.02,0.5,high
Cyprus,0.731,0.799,0.85,0.854,0.864,0.869,0.871,0.873,0.9,0.62,0.34,0.64,very high
Czechia,0.73,0.796,0.862,0.874,0.882,0.885,0.888,0.891,0.86,0.8,0.41,0.71,very high
Denmark,0.799,0.863,0.91,0.926,0.926,0.928,0.929,0.93,0.77,0.54,0.27,0.54,very high
Djibouti,..,0.361,0.446,0.467,0.482,0.489,0.492,0.495,..,2.14,1.32,..,low
Dominica,..,0.694,0.733,0.73,0.729,0.729,0.723,0.724,..,0.54,-0.15,..,high
Dominican Republic,0.593,0.653,0.701,0.712,0.733,0.738,0.741,0.745,0.97,0.71,0.76,0.82,high
Ecuador,0.642,0.669,0.716,0.751,0.758,0.756,0.757,0.758,0.41,0.68,0.71,0.59,high
Egypt,0.546,0.611,0.666,0.681,0.69,0.695,0.696,0.7,1.13,0.86,0.62,0.89,high
El Salvador,0.529,0.608,0.659,0.662,0.66,0.662,0.665,0.667,1.4,0.82,0.14,0.83,medium
